"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","4524","3771","n/e","1556","2049","304","n/e","n/e","26","18","2217","1192","53","n/e","2466","188","103","2327","721","3473","25353"
"Germany (DE)","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","4527","3805","n/e","1558","2037","305","n/e","n/e","25","5","2279","1196","30","n/e","2467","188","103","3141","721","3457","25354"
"Germany (DE)","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","4534","3786","n/e","1535","2026","306","n/e","n/e","25","7","2153","1199","34","n/e","2466","188","103","3939","723","3473","25006"
"Germany (DE)","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","4550","3784","n/e","1533","2000","306","n/e","n/e","25","123","2629","1200","26","n/e","2466","187","103","4769","721","3468","24807"
"Germany (DE)","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","4536","3818","n/e","1535","1999","309","n/e","n/e","25","233","1875","1202","49","n/e","2465","188","103","5635","712","3416","24900"
"Germany (DE)","01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST)","4540","3803","n/e","1534","2002","308","n/e","n/e","24","52","1959","1204","147","n/e","2464","188","103","6409","716","3417","24408"
"Germany (DE)","01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST)","4547","3799","n/e","1529","1996","308","n/e","n/e","24","128","1888","1207","186","n/e","2464","188","103","7091","719","3335","23972"
"Germany (DE)","01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST)","4546","3813","n/e","1526","1993","309","n/e","n/e","24","151","1739","1201","256","n/e","2463","188","103","7723","718","3417","23379"
"Germany (DE)","01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST)","4543","3826","n/e","1529","1998","308","n/e","n/e","24","240","1634","1201","154","n/e","2461","188","103","8279","715","3443","23093"
"Germany (DE)","01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST)","4545","3811","n/e","1536","2008","308","n/e","n/e","23","215","1246","1202","117","n/e","2462","188","103","8680","721","3589","23023"
"Germany (DE)","01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST)","4542","3826","n/e","1533","2006","308","n/e","n/e","23","130","1186","1205","97","n/e","2462","187","103","9044","719","3640","23210"
"Germany (DE)","01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST)","4544","3836","n/e","1528","2009","308","n/e","n/e","23","125","1149","1204","77","n/e","2462","187","103","9277","721","3726","23038"
"Germany (DE)","01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST)","4503","3817","n/e","1514","2023","308","n/e","n/e","23","481","1246","1203","109","n/e","2462","187","103","9296","723","3563","22451"
"Germany (DE)","01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST)","4497","3839","n/e","1517","2020","308","n/e","n/e","23","677","1118","1201","59","n/e","2459","187","103","9272","719","3455","21843"
"Germany (DE)","01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST)","4497","3821","n/e","1520","2019","308","n/e","n/e","22","550","1000","1203","48","n/e","2458","188","103","9290","722","3560","21165"
"Germany (DE)","01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST)","4499","3860","n/e","1504","2022","308","n/e","n/e","22","321","1291","1199","67","n/e","2455","187","103","9138","722","3935","20764"
"Germany (DE)","01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST)","4485","3917","n/e","1504","2042","308","n/e","n/e","22","118","1956","1199","37","n/e","2456","188","103","8915","728","3970","20959"
"Germany (DE)","01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST)","4489","4014","n/e","1521","2045","308","n/e","n/e","22","167","1850","1201","54","n/e","2457","187","103","8498","732","4020","20596"
"Germany (DE)","01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST)","4497","4076","n/e","1522","2048","308","n/e","n/e","22","287","1295","1199","57","n/e","2455","188","103","7820","733","4123","19976"
"Germany (DE)","01.01.2023 13:45 - 01.01.2023 14:00 (CET/CEST)","4496","4068","n/e","1530","2051","308","n/e","n/e","22","419","1277","1195","68","n/e","2456","187","103","7122","734","4142","19823"
"Germany (DE)","01.01.2023 14:00 - 01.01.2023 14:15 (CET/CEST)","4379","4061","n/e","1537","2054","308","n/e","n/e","22","337","2608","1186","48","n/e","2456","187","103","6426","737","6146","20730"
"Germany (DE)","01.01.2023 14:15 - 01.01.2023 14:30 (CET/CEST)","4494","4061","n/e","1532","2051","308","n/e","n/e","22","235","2266","1186","64","n/e","2454","187","103","5688","735","6686","20634"
"Germany (DE)","01.01.2023 14:30 - 01.01.2023 14:45 (CET/CEST)","4492","4072","n/e","1532","2046","308","n/e","n/e","22","518","1592","1182","109","n/e","2452","187","103","4822","734","6699","20025"
"Germany (DE)","01.01.2023 14:45 - 01.01.2023 15:00 (CET/CEST)","4517","4087","n/e","1522","2041","308","n/e","n/e","22","524","773","1178","88","n/e","2453","187","103","3949","732","6717","20420"
"Germany (DE)","01.01.2023 15:00 - 01.01.2023 15:15 (CET/CEST)","4543","4068","n/e","1520","2057","308","n/e","n/e","23","580","1755","1175","67","n/e","2451","187","103","3096","737","6711","21805"
"Germany (DE)","01.01.2023 15:15 - 01.01.2023 15:30 (CET/CEST)","4551","4091","n/e","1528","2067","308","n/e","n/e","23","727","1487","1171","40","n/e","2450","187","103","2269","733","6704","22501"
"Germany (DE)","01.01.2023 15:30 - 01.01.2023 15:45 (CET/CEST)","4557","4083","n/e","1521","2071","308","n/e","n/e","23","419","407","1170","58","n/e","2449","187","103","1491","728","6700","22421"
